HR,HR_Confidence,IBI,IBI_Confidence
75.294647,99.999924,0.0,0
75.338661,99.999924,0.0,0
75.38047,99.999924,0.0,0
75.420189,99.999924,0.0,0
75.457924,99.999924,0.0,0
75.493774,99.999924,0.0,0
75.593773,99.999924,709.052612,100
75.688774,99.999924,0.0,0
75.779022,99.999924,0.0,0
75.864754,99.999924,0.0,0
75.946205,99.999924,0.0,0
76.023582,99.999924,0.0,0
76.097092,99.999924,0.0,0
76.166924,99.999924,0.0,0
76.233261,99.999924,0.0,0
76.296288,99.999924,0.0,0
76.356163,99.999924,0.0,0
76.41304,99.999924,0.0,0
76.467072,99.999924,0.0,0
76.518402,99.999924,0.0,0
76.567169,99.999924,0.0,0
76.613495,99.999924,0.0,0
76.657509,99.999924,0.0,0
76.757507,99.999924,741.286255,100
76.852509,99.999924,0.0,0
76.942757,99.999924,0.0,0
77.028496,99.999924,0.0,0
77.109947,99.999924,0.0,0
77.187325,99.999924,0.0,0
77.260834,99.999924,0.0,0
77.330666,99.999924,0.0,0
77.397011,99.999924,0.0,0
77.460037,99.999924,0.0,0
77.519913,99.999924,0.0,0
77.57679,99.999924,0.0,0
77.630829,99.999924,0.0,0
77.682159,99.999924,0.0,0
77.730927,99.999924,0.0,0
77.777252,99.999924,0.0,0
77.821266,99.999924,0.0,0
77.863075,99.999924,0.0,0
77.933289,99.999924,746.440308,100
77.999992,99.999924,0.0,0
78.063362,99.999924,0.0,0
78.123566,99.999924,0.0,0
78.180756,99.999924,0.0,0
78.235085,99.999924,0.0,0
78.286697,99.999924,0.0,0
78.335732,99.999924,0.0,0
78.382317,99.999924,0.0,0
78.426575,99.999924,0.0,0
78.468613,99.999924,0.0,0
78.508553,99.999924,0.0,0
78.546494,99.999924,0.0,0
78.582542,99.999924,0.0,0
78.616783,99.999924,0.0,0
78.649315,99.999924,0.0,0
78.680222,99.999924,0.0,0
78.709579,99.999924,0.0,0
78.737473,99.999924,0.0,0
78.819717,99.999924,738.331848,100
78.89785,99.999924,0.0,0
78.972076,99.999924,0.0,0
79.042587,99.999924,0.0,0
79.109573,99.999924,0.0,0
79.17321,99.999924,0.0,0
79.233665,99.999924,0.0,0
79.2911,99.999924,0.0,0
79.345665,99.999924,0.0,0
79.397499,99.999924,0.0,0
79.446739,99.999924,0.0,0
79.493523,99.999924,0.0,0
79.537964,99.999924,0.0,0
79.580185,99.999924,0.0,0
79.620293,99.999924,0.0,0
79.658394,99.999924,0.0,0
79.694595,99.999924,0.0,0
79.794594,99.999924,689.962646,100
79.889595,99.999924,0.0,0
79.979843,99.999924,0.0,0
80.065582,99.999924,0.0,0
80.147034,99.999924,0.0,0
80.224411,99.999924,0.0,0
80.29792,99.999924,0.0,0
80.367752,99.999924,0.0,0
80.434097,99.999924,0.0,0
80.497124,99.999924,0.0,0
80.556999,99.999924,0.0,0
80.613884,99.999924,0.0,0
80.667923,99.999924,0.0,0
80.719261,99.999924,0.0,0
80.768028,99.999924,0.0,0
80.814362,99.999924,0.0,0
80.858376,99.999924,0.0,0
80.900185,99.999924,678.898193,100
80.939903,99.999924,0.0,0
80.977638,99.999924,0.0,0
81.013489,99.999924,0.0,0
81.047546,99.999924,0.0,0
81.079903,99.999924,0.0,0
81.110641,99.999924,0.0,0
81.139839,99.999924,0.0,0
81.16758,99.999924,0.0,0
81.193932,99.999924,0.0,0
81.218964,99.999924,0.0,0
81.242744,99.999924,0.0,0
81.265335,99.999924,0.0,0
81.286797,99.999924,0.0,0
81.30719,99.999924,0.0,0
81.326561,99.999924,0.0,0
81.344963,99.999924,656.441711,100
81.36245,99.999924,0.0,0
81.379059,99.999924,0.0,0
81.394836,99.999924,0.0,0
81.409828,99.999924,0.0,0
81.424065,99.999924,0.0,0
81.437592,99.999924,0.0,0
81.450439,99.999924,0.0,0
81.462646,99.999924,0.0,0
81.474243,99.999924,0.0,0
81.48526,99.999924,0.0,0
81.495728,99.999924,0.0,0
81.505669,99.999924,0.0,0
81.515114,99.999924,0.0,0
81.524086,99.999924,0.0,0
81.532616,99.999924,0.0,0
81.540718,99.999924,0.0,0
81.548416,99.999924,654.94342,100
81.555725,99.999924,0.0,0
81.562668,99.999924,0.0,0
81.569267,99.999924,0.0,0
81.575539,99.999924,0.0,0
81.58149,99.999924,0.0,0
81.587143,99.999924,0.0,0
81.592514,99.999924,0.0,0
81.597618,99.999924,0.0,0
81.60247,99.999924,0.0,0
81.607079,99.999924,0.0,0
81.611458,99.999924,0.0,0
81.615616,99.999924,0.0,0
81.619568,99.999924,0.0,0
81.623322,99.999924,0.0,0
81.626884,99.999924,0.0,0
81.630272,99.999924,0.0,0
81.633492,99.999924,667.548096,100
81.636551,99.999924,0.0,0
81.639458,99.999924,0.0,0
81.64222,99.999924,0.0,0
81.644836,99.999924,0.0,0
81.647324,99.999924,0.0,0
81.649689,99.999924,0.0,0
81.651932,99.999924,0.0,0
81.654068,99.999924,0.0,0
81.656097,99.999924,0.0,0
81.65802,99.999924,0.0,0
81.659851,99.999924,0.0,0
81.661591,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,652.144958,25
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
81.663239,99.999924,0.0,0
